#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
   1.2400000      0.67621011      0.74930620      0.21280381       2.1476796       0.0000000       0.0000000      -25.000078      -3.2273517    
   1.2500000      0.67273349      0.74571168      0.21204972       2.1470864       0.0000000       0.0000000      -24.963198      -3.1806672    
   1.2600000      0.66929448      0.74215579      0.21129832       2.1463449       0.0000000       0.0000000      -24.926321      -3.1339834    
   1.2700000      0.66591030      0.73865396      0.21054958       2.1457276       0.0000000       0.0000000      -24.890068      -3.0886405    
   1.2800000      0.66256207      0.73518890      0.20980348       2.1449661       0.0000000       0.0000000      -24.853815      -3.0432980    
   1.2900000      0.65926659      0.73177582      0.20906001       2.1443338       0.0000000       0.0000000      -24.818171      -2.9974566    
   1.3000000      0.65600574      0.72839820      0.20831923       2.1435614       0.0000000       0.0000000      -24.782532      -2.9516146    
   1.3099999      0.65279585      0.72476423      0.20758104       2.1429224       0.0000000       0.0000000      -24.747478      -2.9080217    
   1.3199999      0.64961910      0.72177762      0.20684546       2.1421475       0.0000000       0.0000000      -24.712425      -2.8644285    
   1.3299999      0.64649099      0.71853226      0.20611249       2.1414998       0.0000000       0.0000000      -24.677942      -2.8231435    
   1.3399999      0.64339471      0.71502268      0.20538212       2.1407201       0.0000000       0.0000000      -24.643465      -2.7818582    
   1.3500000      0.64034504      0.71185923      0.20465434       2.1400628       0.0000000       0.0000000      -24.609539      -2.7424040    
   1.3600000      0.63732606      0.70872736      0.20392914       2.1392772       0.0000000       0.0000000      -24.575621      -2.7029498    
   1.3700000      0.63435239      0.70564008      0.20320649       2.1386096       0.0000000       0.0000000      -24.542238      -2.6653991    
   1.3800000      0.63140815      0.70258313      0.20248643       2.1378174       0.0000000       0.0000000      -24.508852      -2.6278484    
   1.3900000      0.62850732      0.69956899      0.20176892       2.1371400       0.0000000       0.0000000      -24.475990      -2.5913072    
   1.4000000      0.62563473      0.69658393      0.20105393       2.1363409       0.0000000       0.0000000      -24.443134      -2.5547659    
   1.4100000      0.62280369      0.69363999      0.20034148       2.1356621       0.0000000       0.0000000      -24.410784      -2.5184236    
   1.4200000      0.61999983      0.69045013      0.19963157       2.1348648       0.0000000       0.0000000      -24.378443      -2.4820812    
   1.4299999      0.61723638      0.68784803      0.19892415       2.1341877       0.0000000       0.0000000      -24.346594      -2.4472795    
   1.4399999      0.61449909      0.68499905      0.19821927       2.1333959       0.0000000       0.0000000      -24.314747      -2.4124777    
   1.4499999      0.61180085      0.68192261      0.19751687       2.1327200       0.0000000       0.0000000      -24.283377      -2.3793867    
   1.4599999      0.60912788      0.67914081      0.19681695       2.1319320       0.0000000       0.0000000      -24.252008      -2.3462954    
   1.4699999      0.60649198      0.67639571      0.19611955       2.1312551       0.0000000       0.0000000      -24.221109      -2.3148115    
   1.4800000      0.60388041      0.67367584      0.19542457       2.1304693       0.0000000       0.0000000      -24.190208      -2.2833273    
   1.4900000      0.60130489      0.67073530      0.19473207       2.1297901       0.0000000       0.0000000      -24.159765      -2.2529030    
   1.5000000      0.59875292      0.66807771      0.19404203       2.1290052       0.0000000       0.0000000      -24.129324      -2.2224782    
   1.5100000      0.59623575      0.66570586      0.19335444       2.1283276       0.0000000       0.0000000      -24.099325      -2.1924486    
   1.5200000      0.59374136      0.66285485      0.19266927       2.1275468       0.0000000       0.0000000      -24.069330      -2.1624188    
   1.5300000      0.59128070      0.66028851      0.19198653       2.1268768       0.0000000       0.0000000      -24.039764      -2.1331890    
   1.5400000      0.58884186      0.65774477      0.19130623       2.1261067       0.0000000       0.0000000      -24.010199      -2.1039593    
   1.5500000      0.58643526      0.65523291      0.19062832       2.1254439       0.0000000       0.0000000      -23.981052      -2.0760734    
   1.5599999      0.58404976      0.65274286      0.18995284       2.1246831       0.0000000       0.0000000      -23.951912      -2.0481875    
   1.5699999      0.58169550      0.65004569      0.18927972       2.1240261       0.0000000       0.0000000      -23.923176      -2.0214620    
   1.5799999      0.57936168      0.64784592      0.18860900       2.1232736       0.0000000       0.0000000      -23.894442      -1.9947364    
   1.5899999      0.57705832      0.64520425      0.18794066       2.1226218       0.0000000       0.0000000      -23.866104      -1.9691652    
   1.5999999      0.57477462      0.64281905      0.18727468       2.1218770       0.0000000       0.0000000      -23.837770      -1.9435940    
   1.6100000      0.57252038      0.64046288      0.18661104       2.1212311       0.0000000       0.0000000      -23.809824      -1.9185841    
   1.6200000      0.57028520      0.63812649      0.18594980       2.1204944       0.0000000       0.0000000      -23.781878      -1.8935741    
   1.6300000      0.56807822      0.63581800      0.18529087       2.1198580       0.0000000       0.0000000      -23.754309      -1.8688611    
   1.6400000      0.56588960      0.63352871      0.18463428       2.1191332       0.0000000       0.0000000      -23.726740      -1.8441482    
   1.6500000      0.56372833      0.63126636      0.18398003       2.1185086       0.0000000       0.0000000      -23.699539      -1.8204752    
   1.6600000      0.56158489      0.62902272      0.18332811       2.1177979       0.0000000       0.0000000      -23.672337      -1.7968022    
   1.6700000      0.55946809      0.62658703      0.18267845       2.1171834       0.0000000       0.0000000      -23.645496      -1.7741512    
   1.6799999      0.55736864      0.62438953      0.18203112       2.1164851       0.0000000       0.0000000      -23.618656      -1.7515004    
   1.6899999      0.55529493      0.62221766      0.18138608       2.1158798       0.0000000       0.0000000      -23.592167      -1.7297143    
   1.6999999      0.55323803      0.61985016      0.18074334       2.1151927       0.0000000       0.0000000      -23.565678      -1.7079283    
   1.7099999      0.55120593      0.61772197      0.18010287       2.1145971       0.0000000       0.0000000      -23.539524      -1.6867085    
   1.7199999      0.54919004      0.61561066      0.17946467       2.1139214       0.0000000       0.0000000      -23.513376      -1.6654886    
   1.7300000      0.54719806      0.61352301      0.17882873       2.1133382       0.0000000       0.0000000      -23.487558      -1.6445996    
   1.7400000      0.54522175      0.61124563      0.17819503       2.1126773       0.0000000       0.0000000      -23.461748      -1.6237106    
   1.7500000      0.54326886      0.60940361      0.17756359       2.1121082       0.0000000       0.0000000      -23.436255      -1.6035904    
   1.7600000      0.54133123      0.60716856      0.17693439       2.1114631       0.0000000       0.0000000      -23.410772      -1.5834701    
   1.7700000      0.53941637      0.60516053      0.17630741       2.1109071       0.0000000       0.0000000      -23.385595      -1.5641397    
   1.7800000      0.53751630      0.60316789      0.17568266       2.1102769       0.0000000       0.0000000      -23.360420      -1.5448092    
   1.7900000      0.53563827      0.60119706      0.17506012       2.1097336       0.0000000       0.0000000      -23.335554      -1.5261964    
