#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
   1.6100000      0.57251894      0.64046162      0.18661104       2.1212294       0.0000000       0.0000000      -23.809799      -1.9185842    
   1.6200000      0.57028383      0.63812524      0.18594980       2.1204927       0.0000000       0.0000000      -23.781853      -1.8935760    
   1.6300000      0.56807679      0.63581681      0.18529087       2.1198564       0.0000000       0.0000000      -23.754282      -1.8688636    
   1.6400000      0.56588817      0.63330352      0.18463428       2.1191318       0.0000000       0.0000000      -23.726717      -1.8441509    
   1.6500000      0.56372696      0.63104320      0.18398003       2.1185069       0.0000000       0.0000000      -23.699516      -1.8204792    
   1.6600000      0.56158352      0.62902141      0.18332811       2.1177962       0.0000000       0.0000000      -23.672316      -1.7968074    
   1.6700000      0.55946672      0.62658584      0.18267845       2.1171815       0.0000000       0.0000000      -23.645479      -1.7741544    
   1.6799999      0.55736721      0.62438828      0.18203112       2.1164834       0.0000000       0.0000000      -23.618639      -1.7515016    
   1.6899999      0.55529356      0.62200165      0.18138608       2.1158781       0.0000000       0.0000000      -23.592150      -1.7297171    
   1.6999999      0.55323672      0.62006187      0.18074334       2.1151912       0.0000000       0.0000000      -23.565657      -1.7079327    
   1.7099999      0.55120456      0.61772072      0.18010287       2.1145954       0.0000000       0.0000000      -23.539507      -1.6867142    
   1.7199999      0.54918867      0.61560941      0.17946467       2.1139195       0.0000000       0.0000000      -23.513355      -1.6654954    
   1.7300000      0.54719669      0.61352175      0.17882873       2.1133366       0.0000000       0.0000000      -23.487541      -1.6446048    
   1.7400000      0.54522043      0.61124438      0.17819503       2.1126754       0.0000000       0.0000000      -23.461725      -1.6237140    
   1.7500000      0.54326761      0.60940248      0.17756359       2.1121063       0.0000000       0.0000000      -23.436237      -1.6035957    
   1.7600000      0.54132992      0.60716730      0.17693439       2.1114612       0.0000000       0.0000000      -23.410744      -1.5834776    
   1.7700000      0.53941506      0.60515928      0.17630741       2.1109052       0.0000000       0.0000000      -23.385571      -1.5641308    
   1.7800000      0.53751498      0.60316664      0.17568266       2.1102750       0.0000000       0.0000000      -23.360399      -1.5447838    
   1.7900000      0.53563690      0.60119581      0.17506012       2.1097317       0.0000000       0.0000000      -23.335533      -1.5261821    
   1.8000000      0.53377330      0.59904343      0.17443979       2.1091158       0.0000000       0.0000000      -23.310667      -1.5075800    
   1.8099999      0.53193074      0.59730512      0.17382166       2.1085839       0.0000000       0.0000000      -23.286102      -1.4894791    
   1.8199999      0.53010219      0.59519136      0.17320570       2.1079812       0.0000000       0.0000000      -23.261538      -1.4713778    
   1.8299999      0.52829421      0.59329295      0.17259195       2.1074648       0.0000000       0.0000000      -23.237268      -1.4535002    
   1.8399999      0.52649969      0.59140861      0.17198037       2.1068790       0.0000000       0.0000000      -23.212999      -1.4356227    
   1.8499999      0.52472514      0.58935499      0.17137094       2.1063778       0.0000000       0.0000000      -23.189016      -1.4184562    
